nCount_RNA,nFeature_RNA,SORT,nCount_SCT,nFeature_SCT,nCount_Exon,nFeature_Exon,sex_ontology_term_id,sex,Label_0,Label_1,Label_2,Label_3
2153.0,1411,2,4284.0,1564,1550.0,1054,1,1,0,0,1,0
5820.0,2761,2,8826.0,2852,1405.0,984,0,0,0,0,1,0
10980.0,4326,2,10445.0,4326,3995.0,2356,0,0,0,0,1,0
11987.0,4018,2,5776.0,3201,4591.0,2034,0,0,1,0,0,0
7178.0,3104,1,5462.0,3055,2860.0,1425,1,1,0,0,0,1
11391.0,3873,2,10487.0,3873,2185.0,1472,1,1,1,0,0,0
17956.0,5718,1,4575.0,2531,9039.0,3788,0,0,0,0,0,1
5781.0,2973,1,5321.0,2973,3904.0,2120,1,1,0,0,0,1
6025.0,2631,2,5505.0,2630,2064.0,1168,0,0,0,0,1,0
7094.0,3482,2,5886.0,3461,4883.0,2675,1,1,0,0,1,0
2238.0,1413,0,3857.0,1501,1419.0,862,0,0,0,0,0,1
3768.0,2190,1,4126.0,2190,1471.0,1021,0,0,0,0,0,1
8398.0,3375,1,5557.0,3201,2942.0,1529,0,0,0,0,0,1
1777.0,1197,0,3757.0,1325,730.0,573,1,1,0,0,0,1
3671.0,2028,0,3974.0,2028,1647.0,1033,1,1,0,0,0,1
6937.0,3244,1,5573.0,3222,2795.0,1658,0,0,0,0,0,1
13278.0,4720,2,10818.0,4696,4425.0,2571,0,0,0,0,1,0
5256.0,2756,2,5210.0,2755,1866.0,1364,0,0,0,0,1,0
7870.0,3384,2,9040.0,3384,2501.0,1667,0,0,0,0,1,0
4913.0,2308,2,9006.0,2469,1177.0,832,1,1,0,1,0,0
10299.0,3708,1,5593.0,3121,3424.0,1472,0,0,0,0,0,1
6440.0,2892,0,5204.0,2874,3068.0,1593,0,0,0,0,0,1
7940.0,3324,2,9076.0,3324,2243.0,1475,1,1,0,1,0,0
6316.0,3248,1,5480.0,3246,3849.0,2162,0,0,0,0,0,1
13859.0,4862,2,10944.0,4809,5808.0,3083,1,1,0,1,0,0
1328.0,908,2,3924.0,1219,470.0,346,0,0,1,0,0,0
9408.0,4146,0,5581.0,3600,5931.0,2997,0,0,0,0,0,1
4529.0,2252,1,4568.0,2252,1753.0,1094,0,0,0,0,0,1
7941.0,3355,2,5829.0,3302,3089.0,1704,0,0,0,0,1,0
2357.0,1446,2,8406.0,2442,943.0,619,0,0,0,0,1,0
3902.0,2250,0,4063.0,2249,2527.0,1545,1,1,0,0,0,1
1859.0,1270,0,3865.0,1365,1138.0,816,1,1,0,0,0,1
5163.0,2795,2,5145.0,2795,2250.0,1571,0,0,0,0,1,0
9114.0,3422,1,5540.0,3093,3409.0,1554,0,0,0,0,0,1
2117.0,1322,1,4319.0,1400,982.0,686,1,1,0,0,0,1
8757.0,4059,0,5626.0,3684,5897.0,2954,0,0,0,0,0,1
4899.0,2448,0,4769.0,2448,2521.0,1363,1,1,0,0,0,1
2644.0,1623,1,3929.0,1638,1413.0,936,0,0,0,0,0,1
