ILMN_1343291,ILMN_1343295,ILMN_1651209,ILMN_1651210,ILMN_1651221,ILMN_1651228,ILMN_1651229,ILMN_1651235,ILMN_1651237,ILMN_1651254,ILMN_1651259,ILMN_1651262,ILMN_1651268,ILMN_1651278,ILMN_1651279,ILMN_1651282,ILMN_1651285,ILMN_1651288,ILMN_1651296,ILMN_1651315,ILMN_1651316,ILMN_1651328,ILMN_1651330,ILMN_1651336,ILMN_1651339,ILMN_1651341,ILMN_1651343,ILMN_1651346,ILMN_1651347,ILMN_1651354,ILMN_1651358,ILMN_1651364,ILMN_1651370,ILMN_1651373,ILMN_1651378,ILMN_1651380,ILMN_1651385,ILMN_1651395,ILMN_1651403,ILMN_1651405,ILMN_1651415,ILMN_1651428,ILMN_1651429,ILMN_1651433,ILMN_1651437,ILMN_1651438,ILMN_1651453,ILMN_1651457,ILMN_1651464,ILMN_1651486,ILMN_1651488,ILMN_1651490,ILMN_1651492,ILMN_1651496,ILMN_1651498,ILMN_1651499,ILMN_1651501,ILMN_1651504,ILMN_1651506,ILMN_1651507,ILMN_1651508,ILMN_1651513,ILMN_1651532,ILMN_1651535,ILMN_1651538,ILMN_1651544,ILMN_1651547,ILMN_1651554,ILMN_1651557,ILMN_1651565,ILMN_1651567,ILMN_1651569,ILMN_1651574,ILMN_1651599,ILMN_1651604,ILMN_1651606,ILMN_1651609,ILMN_1651610,ILMN_1651617,ILMN_1651624,ILMN_1651628,ILMN_1651636,ILMN_1651637,ILMN_1651642,ILMN_1651643,ILMN_1651652,ILMN_1651657,ILMN_1651660,ILMN_1651664,ILMN_1651672,ILMN_1651680,ILMN_1651681,ILMN_1651684,ILMN_1651690,ILMN_1651692,ILMN_1651693,ILMN_1651699,ILMN_1651705,Label
13.02233387,9.767180295,6.060962488,6.045847462,6.040872143,10.41232012,6.539883019,6.078741138,6.030012367,8.958718335,6.418253595,8.596274672,6.073510805,6.782634146,6.509658495,6.371734256,6.065386398,6.399984105,6.271361676,7.893131526,6.206980283,6.31483473,5.99741297,6.252965972,6.035428182,6.144480135,6.145690493,6.766092088,8.228124029,6.102376255,7.935051974,6.037512375,6.05762378,6.287417822,7.413890561,6.093032307,7.154049066,6.0936873,6.710107365,7.892178968,6.075632564,6.08505638,6.636342654,6.678238337,6.06684849,7.237263738,6.080836097,6.073750606,7.224875685,6.008720137,6.044572049,6.033890062,6.054482455,8.397027541,6.051499583,6.593658972,6.061126951,6.727354353,6.021560842,6.023949352,6.007482815,6.310582716,6.104025091,6.064471314,6.199988698,6.108552165,6.046584295,6.175472375,6.275576663,6.027286723,6.079409714,6.052148964,6.02347644,6.101643606,5.992960857,6.183158153,6.080445716,6.091298648,5.986572772,6.049421576,6.876432546,6.038573257,6.098145671,6.215898571,6.054304323,6.013973367,5.996144018,6.03175412,6.003969878,6.031950222,11.68331247,6.077191589,6.293905502,6.032609542,7.917539882,6.298894308,5.998846957,8.886025321,0
14.86978208,11.77774842,7.591803054,,7.550637986,11.20335142,8.008439649,7.482686269,7.542012571,10.51010185,7.708731455,11.40216597,7.585177823,8.196769551,7.686610335,7.603555223,7.390535297,7.511300104,7.71098181,9.74133549,7.550754314,8.09488973,7.480050319,7.958417001,,7.565881197,7.52687118,8.628918991,9.834997872,7.498283033,9.128905618,7.760267882,7.478809629,7.579811863,8.247959507,,8.947683707,,8.678131058,9.839847943,7.613796904,7.468175192,8.136728159,8.590174306,7.591028234,8.869688827,7.379071719,,7.888384187,7.513229157,7.453858873,7.451738021,7.533166964,8.412941188,7.464541765,7.644748745,7.464202712,8.357184132,7.677402025,7.567071702,7.450821706,8.016088659,7.332997291,7.423422178,7.554682839,7.535360527,,7.430920222,7.80949279,7.465897307,7.411790014,7.529995712,7.706081473,7.344849949,7.616599714,7.566338793,7.6563137,7.790844736,,7.421434155,8.054736921,7.491425403,7.46799909,7.75324544,7.507129792,7.457651992,7.594846993,7.549672022,7.429969715,7.501207297,14.30876467,7.467106311,7.850279128,7.471437302,9.866219774,7.535510646,,10.37839867,1
14.65506917,12.26632589,7.815103331,,7.42263954,10.86230857,7.931701102,7.519898084,7.431042012,11.02422257,7.679452753,11.48329415,7.456921809,8.174205115,7.756957735,7.592678663,7.51191626,7.5090325,7.720470076,9.845335197,7.418541401,8.260878285,7.426042411,7.90433368,,7.604055669,7.4875121,8.62367635,9.74133549,7.499887312,8.916991045,7.611412785,7.544055538,7.574214493,8.099842735,,8.814689311,,8.777017209,10.0784801,7.591899855,7.508810432,8.350219088,8.426245378,7.495038039,9.614784447,7.409250161,,7.704629012,7.535347993,7.461059142,7.642945114,7.593873068,8.668726536,7.488430439,7.591634582,7.533420013,8.177182724,7.648080297,7.531769312,7.399366068,7.749248963,7.483779276,7.457651992,7.695005227,7.622275402,,7.469757777,7.907292382,7.382380855,7.468720604,7.628678008,7.590821334,7.399723716,7.687390675,7.509173467,7.729528787,7.74215643,,7.372728151,8.038133581,7.469325176,7.473858555,7.692749068,7.492486814,7.533971946,7.543686967,7.244968822,7.376541875,7.375709228,13.90885492,7.53152364,7.831239306,7.54331171,10.08578104,7.501401107,,10.31987949,1
14.01931946,9.619594378,6.285687851,6.008557678,6.065821132,10.80962567,6.448479915,6.074060486,6.02373565,9.056591488,6.364314719,8.533542247,6.130895023,6.85394657,6.054891693,6.051422151,6.082176029,6.172656957,6.232766831,7.741137858,6.311549019,6.566938576,6.011402381,6.341580321,6.045268818,6.12707276,6.09095534,6.809919027,8.272722784,6.281400349,6.607008066,6.218864004,6.030583865,6.098464437,7.409983462,6.023247093,6.840572749,6.035615632,7.185301295,8.392770501,6.062061922,6.052948206,6.85150362,7.050961035,6.077810566,6.888133175,6.060184198,6.068679141,6.130152022,6.068114967,6.113955609,6.065532168,6.128406117,7.218673165,6.058125648,6.592359712,6.028537465,6.683363358,6.158851855,6.164685243,6.027628791,6.635207212,6.038551446,6.000148912,6.029433157,6.129665775,5.997135666,6.066056267,6.473120859,6.048434564,6.071883717,6.15146736,6.176262834,6.025847019,6.070180839,6.023263947,6.028028992,6.181404679,6.13827741,6.085364399,6.882481513,6.049130458,6.044012814,6.286519714,6.008306276,6.080838802,6.069136791,6.01576263,6.019720988,6.034185925,12.59657732,6.141507562,6.479809514,6.121417481,7.469884361,6.047152205,6.013876822,8.913127644,1
13.28991241,10.19299047,6.073550469,6.039161618,6.069892721,10.31434899,6.502377299,6.023331219,6.048442845,8.91390864,6.320960758,8.565701065,6.045563924,6.806946463,6.262692294,6.410607082,6.026278894,6.171723259,6.165054803,7.828692455,6.162186383,6.38568186,6.00116957,6.151938803,6.058555932,6.039229142,6.187802336,6.948037009,8.036235379,6.038609687,7.470586689,6.104894969,6.035752542,6.121956097,7.018805428,6.046779657,7.091218416,6.046415668,6.641532853,8.189540193,6.11574516,6.028652136,6.574963693,6.71280363,6.106369933,6.97434069,6.068850739,6.023266968,6.505967493,6.065040933,6.147573635,6.049412813,6.058053777,7.542463423,6.087598338,6.575928137,6.025200456,6.815804265,6.128056564,6.138802378,6.046975468,6.550204387,6.035975254,6.04781607,6.062406742,6.092706579,6.101675752,6.091358097,6.384343386,6.140206162,6.122193697,6.096276932,6.064235377,6.063716236,6.029365051,6.087320045,6.04052862,6.164114315,6.093809533,6.012802208,6.946237112,6.033310698,6.031001518,6.055737694,6.055828463,6.043026591,6.031865285,6.009027873,6.037932316,6.087209817,12.17192804,6.053408893,6.204279532,6.096830522,7.761435371,6.147880531,6.016133781,8.981321938,1
13.08609968,9.827239064,6.149266031,6.049337412,6.046484953,10.61507059,6.499759715,6.063143849,6.020378325,8.864521671,6.413817276,8.555034709,6.054157363,6.665951512,6.426195907,6.341391344,6.02995119,6.456610328,6.118033443,7.656835171,6.081679545,6.520374914,6.006607956,6.176508073,6.037598967,6.050436573,6.054664075,6.855518536,7.885837988,6.070032666,7.450541883,6.140497663,6.030631521,6.474089079,7.030267854,6.142261192,7.192889596,6.027983815,6.925264391,8.018819684,6.059125343,6.031558247,6.644803138,6.799743437,6.05822461,7.425986849,6.150708061,6.081365076,7.098307847,6.067387745,6.095561589,6.088496465,6.034842388,7.210281147,6.050948095,6.28105654,6.059066568,6.822358337,6.115279808,6.054931745,6.051192816,6.367386388,6.027582653,6.025871017,6.040709622,6.150589039,6.030612297,6.107543354,6.179575927,6.106433906,6.047973721,6.088601543,6.045039395,6.111809808,6.046197928,6.224327667,6.054972338,6.194901591,6.095789891,6.016945335,6.487644035,6.043105633,6.111321101,6.141435723,6.028138888,6.016043275,6.049935716,6.142006505,6.074679975,6.182719321,11.80581009,6.196082971,6.209950899,6.066519044,8.074981311,6.085793005,6.031341444,8.915559066,1
14.47118383,12.02224097,7.531911043,,7.450374221,9.846733687,8.124594687,7.532123271,7.448327735,10.77847663,7.739662426,11.12025023,7.458589591,8.126136843,7.779429269,7.514173593,7.538170012,7.502431629,7.683874684,9.945177138,7.504259241,7.921712079,7.370930616,7.981677541,,7.66970149,7.529984183,8.579283689,9.800460545,7.712652196,9.524667427,7.578062742,7.546586696,7.501804936,8.004984853,,9.371211133,,8.307026857,9.652034154,7.510738498,7.38777731,7.919965325,8.409973298,7.618456763,8.973584787,7.462157295,,7.578180078,7.446674319,7.43176303,7.701099128,7.700414468,8.984234075,7.499188353,7.706519362,7.460684906,8.397094436,7.739031633,7.514360428,7.521394661,7.657684881,7.322834065,7.491759571,7.863551179,7.561557785,,7.439662071,7.59953993,7.520117992,7.467254634,7.57646183,7.688810417,7.383891202,7.744270581,7.459111485,7.497775951,7.581416219,,7.64889746,8.299217511,7.49514137,7.47090587,7.824538465,7.476566559,7.513700562,7.793351398,7.514871139,7.469012038,7.44595234,14.00414573,7.459390621,7.83380898,7.362689135,10.04417793,7.545588,,11.23762408,1
12.96271671,10.09108787,6.10145674,6.034551378,6.028545154,11.04093788,6.409452397,6.09527656,6.042958075,8.939959774,6.461073848,8.674666125,6.12586892,6.987849123,6.261451825,6.056233864,5.999755253,6.100529985,6.414691643,7.823726937,6.034841868,6.521338214,6.007165113,6.216106854,6.097065276,6.042294405,6.095003634,6.732459459,8.267441545,6.127522124,7.097931679,6.163475387,6.116034719,6.015202346,7.150831102,6.026846061,6.883313432,6.058429076,6.747338183,8.227035576,6.128415152,6.060700024,6.680757403,7.084672841,6.032902036,7.1619048,6.126563199,6.024654891,6.279022958,6.049696842,6.055620404,6.134076856,6.017268394,7.572897265,6.071189888,6.580725538,6.035835992,6.894235505,6.218387304,6.054959937,6.023709489,6.479979233,6.139108798,6.025005401,6.031666302,6.09306389,6.011606096,6.116144745,6.319575384,6.061372833,6.018761136,6.02816741,6.098452461,6.032705586,6.037518022,6.067676964,6.005603867,6.171570093,6.06593518,6.011245489,6.586650673,6.006949218,6.051804588,6.267935185,6.041189534,6.074818344,6.099900613,5.985132828,6.075820249,6.054657083,12.01071494,6.063639654,6.42712495,6.110052167,7.762186168,6.105298076,6.029190934,9.041609574,0
12.80860755,9.873729635,6.059435538,6.100278074,6.045246423,10.08140399,6.493089931,6.044378538,6.097812841,8.819558397,6.36224142,8.535954968,6.110524025,6.944523078,6.294393016,6.074711412,6.175915899,6.240096394,6.29701543,7.914053878,6.054886825,6.379848706,6.004304626,6.201493344,6.118388819,6.134023505,6.128699502,6.91594777,8.405331386,6.214928187,7.558769318,6.056501629,6.012589423,6.09490166,7.054615991,6.025309494,7.57393253,6.080086257,6.632532165,8.094302044,6.110553131,6.026068164,6.447965621,6.828565617,6.051891919,7.04722639,6.046752814,6.05455841,6.614745452,6.015131632,6.046078426,6.056652113,6.088537539,7.801677953,6.083308163,6.564668845,6.076279811,6.92245805,6.305072188,6.046959428,6.05040062,6.342034512,6.074855251,6.047107078,6.107172355,6.152945813,6.02596311,6.065228623,6.170096971,6.130736446,6.003288328,6.075318018,6.100139018,6.027412288,6.057183032,6.087650527,6.075163416,6.106724688,6.038382237,6.068588097,7.018933816,6.073651868,5.996082986,6.28825303,6.096235426,6.07871196,6.043543454,6.08324931,5.995272089,6.145890635,11.96169487,6.048840046,6.335185957,6.005121442,8.005135657,6.137057525,6.014436189,9.295319946,0
13.71558974,9.97883399,6.118902552,6.030196506,6.053708679,10.19796426,6.394740474,6.018420163,6.019426495,8.589201997,6.437874898,8.740330799,6.052848412,7.043958926,6.460195201,6.108096791,6.049396581,6.165757946,6.175193071,7.719700246,6.372557855,6.328135129,5.995358099,6.273790621,6.14416335,6.064652516,6.074799246,7.033498609,8.327397387,6.209126687,7.340642635,6.251450103,6.106365707,6.127620751,7.355977654,6.045063818,7.147053288,6.077528323,6.741682607,7.942101297,6.072366212,6.093943537,6.541366707,7.388474903,6.03793627,6.974328022,6.004514379,6.022970543,6.474766544,6.025072798,6.022264609,6.021223344,6.052713703,7.444809452,6.1362936,6.484632416,6.162187364,6.717392916,6.214228337,6.084488327,6.015085117,6.843267758,6.045414364,6.02954522,6.08899525,6.063276891,6.011734475,6.039603592,6.333216471,6.103655711,6.101034778,6.110656046,6.110204,6.034653999,6.010827307,6.071331667,6.031266978,6.155144755,6.023883145,6.051611461,7.033799799,6.03636034,6.009226849,6.2396561,6.028850872,6.032255784,6.071349626,6.037952388,6.056102221,6.141756518,12.66580914,6.132934151,6.399480402,6.054145531,7.562731316,6.073623227,6.050606147,8.753600198,0
